RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
756,Tessiant,45.6,United Kingdom of Great Britain and Northern Ireland,Management consulting,5744600,1802639,16,5,2019
757,Myconnect,45.5,France,IT & Software,4596113,1490596,15,10,2014
758,MC Energy GTS,45.5,Italy,Energy & Utilities,2609584,846407,8,7,2011
759,Coopemploi,45.3,France,Employment Services,63618340,20724154,1270,1090,2016
760,Gusti d'Italia,45.3,Italy,Food & Beverages,8749765,2851207,2,3,2009
761,Logen,45.3,Italy,Energy & Utilities,2776254,904725,14,2,2008
762,HEADFOUND,45.3,Germany,Employment Services,6452708,2104032,54,12,2018
763,Soldats Films,45.3,France,Advertising & Marketing,7113856,2320653,6,4,2012
764,Ecovadis,45.2,France,Management consulting,137747000,45003000,1690,689,2007
765,Elemental CoSec,45.2,United Kingdom of Great Britain and Northern Ireland,Legal & Accounting Services,6997027,2216389,45,22,2011
766,SECUSTAFF,45.1,Germany,IT & Software,6349124,2076711,25,8,2018
767,eila consulting,45.1,Germany,"Professional, Scientific & Technical Services",19174990,6275569,40,40,2013
768,grüum,45.1,United Kingdom of Great Britain and Northern Ireland,Ecommerce,8200760,2600567,46,15,2015
769,Simoneschi,45.1,Italy,Construction & Engineering,3190623,1044793,19,16,1978
770,CLIQ Digital,45,Germany,Advertising & Marketing,326355000,106953000,170,83,2005
771,CDF Logistica,45,Italy,Logistics & Transportation,38116370,12511000,400,300,1992
772,AIIC Group,44.9,United Kingdom of Great Britain and Northern Ireland,Legal & Accounting Services,96425365,30678058,680,569,2015
773,Nord Est Elevatori,44.9,Italy,Mechanical & Plant Engineering,12809527,4210539,23,13,2010
774,SwipBox,44.8,Denmark,Logistics & Transportation,28431399,9385312,62,38,2012
775,IPSES,44.8,Italy,Mechanical & Plant Engineering,2708179,892689,18,13,2003
776,GEVA Group,44.7,Germany,IT & Software,14563105,4801942,85,43,2013
777,HoSt Group,44.7,"Netherlands, Kingdom of the",Construction & Engineering,153100000,50500000,450,180,1991
778,energie+agrar,44.7,Germany,Energy & Utilities,8638000,2853900,14,8,2018
779,secida,44.7,Germany,IT & Software,3713406,1226882,19,8,2019
780,Hydeale,44.6,Italy,Energy & Utilities,6623000,2188900,131,37,2009
781,Netalia,44.6,Italy,IT & Software,5246230,1735084,30,5,2010
782,Italtekno,44.6,Italy,Energy & Utilities,2495888,825754,10,3,2008
783,Dal Prete Engineering,44.4,Italy,Manufacturing,3931313,1304807,14,8,1998
784,Constellation,44.4,France,IT & Software,185935369,61775248,723,215,2016
785,Axil Integrated Services,44.3,United Kingdom of Great Britain and Northern Ireland,Waste Management & recycling,37233690,11997174,197,81,2014
786,A.M.I. Audit Management Integration,44.3,France,IT & Software,2965886,986693,12,7,2018
787,DES Composites,44.3,Italy,Automotive,2125532,707394,24,13,2014
788,Expotrans,44.3,Germany,Logistics & Transportation,14200899,4727271,68,38,2010
789,Qred,44.3,Sweden,"Fintech, Financial Services & Insurance",67272065,24817234,214,71,2015
790,Laser Wire Solutions,44.2,United Kingdom of Great Britain and Northern Ireland,Manufacturing,8849201,2860596,58,27,2011
791,BIT Mobility,44.1,Italy,IT & Software,8330000,2786000,104,69,2019
792,Vuba Chemical Innovations,44,United Kingdom of Great Britain and Northern Ireland,Manufacturing,21742739,7057584,52,19,2010
793,Digital Angels,43.9,Italy,Advertising & Marketing,19500147,6550814,73,32,2007
794,OrangeSmile,43.8,"Netherlands, Kingdom of the",Wholesale,4974902,1673219,7,2,2019
795,CarPlanner,43.8,Italy,Advertising & Marketing,3191948,1074094,8,8,2017
796,PySENSE,43.7,Poland,IT & Software,5981139,1916934,22,14,2017
797,The Housing Network,43.7,United Kingdom of Great Britain and Northern Ireland,Public Sector & Infrastructure,23252815,7592417,155,45,2014
798,Opéra Energie,43.6,France,Energy & Utilities,33234702,11221491,147,96,2014
799,Mardruk opakowania,43.5,Poland,Manufacturing,10023913,3226640,110,46,2015
